Plot,Date,Leaf Area (cm²)
LT21,241202,3195.05
LT62,241216,83.83
LT43,241015,497.62
LT42,240930,180.79
LT31,241112,486.96
LT41,241025,2979.42
LT34,241011,719.11
LT22,241112,2574.51
LT62,241025,490.45
LT62,241025,3161.61
LT21,240930,396.25
LT42,241202,1990.04
LT63,241112,649.00
LT22,241025,1568.14
LT41,241112,4084.76
LT34,241112,4085.25
LT33,241216,45.59
LT12,241015,33.68
LT22,241011,563.11
LT13,240930,895.00
LT54,240930,651.77
LT52,241112,558.02
LT13,241202,3565.34
LT41,241011,695.43
LT34,241025,2214.92
LT54,241202,2195.07
LT31,241015,153.28
LT53,241202,2422.07
LT14,241202,2430.86
LT63,241025,725.25
LT53,240930,410.00
LT52,241015,363.33
LT62,241011,689.79
LT62,241112,1028.19
LT14,240930,388.41
LT34,241216,213.18
LT33,241112,4425.88
LT41,241216,209.83
LT61,240930,90.96
LT22,241216,96.25
LT33,241011,302.16
LT61,241202,2967.30
LT52,241025,1487.57
LT44,241015,308.06
LT51,241112,4335.36
LT32,241025,1791.53
LT43,241025,3105.22
LT11,241216,188.92
LT52,241202,2067.78
LT31,240930,96.62
LT32,241112,1357.91
LT51,241025,3089.12
LT24,241011,1738.66
LT14,241015,369.60
LT61,241112,2398.88
LT52,240930,296.50
LT31,241202,3271.88
LT53,241015,228.92
LT63,241011,777.07
LT44,241202,2202.02
LT51,241011,582.43
LT24,241025,3160.23
LT61,241015,127.71
LT14,241025,3684.29
LT44,240930,1200.96
LT64,241216,35.94
LT32,241011,593.37
LT23,241216,140.99
LT24,241112,2534.83
LT23,241112,4336.76
LT24,241216,40.54
LT11,241112,5217.04
LT42,241015,171.28
LT63,241216,67.89
LT64,241112,1574.74
LT43,240930,581.45
LT33,241025,1243.09
LT23,241025,2305.68
LT64,241025,732.53
LT11,241011,322.27
LT21,241015,180.43
LT43,241202,2035.12
LT43,241112,3484.86
LT64,241011,386.78
LT11,241025,2426.19
LT54,241015,155.09
LT13,241015,247.94
LT23,241011,470.78
LT32,241216,46.73
LT12,240930,81.53
LT12,241202,1676.25
LT51,241216,159.79
LT53,241025,2402.12
LT51,241015,124.52
LT61,241011,308.63
LT33,241202,2304.33
LT54,241216,185.26
LT53,241112,3245.24
LT52,241025,3230.99
LT32,241015,23.76
LT14,241112,3936.43
LT13,241216,161.64
LT33,240930,580.69
LT62,241202,2144.09
LT63,241025,2905.66
LT21,241216,111.09
LT24,241015,522.79
LT61,241025,2885.72
LT14,241011,1617.35
LT53,241011,696.98
LT63,241015,380.33
LT62,241112,4476.77
LT42,241216,117.12
LT62,240930,222.07
LT42,241112,410.89
LT64,241015,112.78
LT54,241011,778.60
LT21,241025,2178.61
LT22,240930,589.92
LT52,241112,4100.39
LT41,241202,3964.90
LT13,241011,367.10
LT23,241015,260.98
LT21,241112,4646.60
LT42,241025,714.33
LT61,241216,93.78
LT22,241202,1914.92
LT41,240930,1239.98
LT34,240930,403.19
LT14,241216,178.47
LT31,241112,3897.02
LT13,241112,4041.45
LT42,241011,705.56
LT54,241112,2802.81
LT53,241216,49.34
LT62,241025,2966.47
LT34,241202,2862.30
LT13,241025,1916.18
LT63,241112,4555.98
LT11,241015,71.08
LT54,241025,1817.70
LT21,241011,490.01
LT23,240930,485.02
LT12,241011,211.83
LT22,241015,137.06
LT64,240930,249.10
LT44,241216,70.50
LT41,241015,172.61
LT23,241202,3649.76
LT64,241202,1027.22
LT11,241112,2249.89
LT52,241216,101.45
LT43,241011,1125.66
LT11,241202,3562.17
LT34,241015,91.72
LT12,241112,529.97
LT33,241025,3603.45
LT31,241216,83.51
LT11,240930,252.93
LT12,241025,715.70
LT43,241112,3232.30
LT51,240930,235.03
LT32,241202,955.14
LT51,241202,4304.59
LT14,241025,1087.91
LT12,241216,102.74
LT33,241015,463.43
LT32,240930,208.78
LT44,241011,1345.86
LT31,241025,1593.92
LT63,241202,1855.14
LT44,241025,2923.34
LT31,241011,493.11
LT43,241025,2420.96
LT24,241202,2401.09
LT43,241216,75.10
LT44,241112,4290.13
LT52,241011,936.40
LT62,241015,567.60
LT63,240930,282.36
LT61,241112,4500.89
LT24,240930,794.75
