"plot","date","canopy.Le","canopy.L","canopy.LX","canopy.LXG1","canopy.LXG2","endVZA","canopy.DIFN"
"LT11",2024-09-20,2.15,2.15,1,1,1,60,13.474
"LT11",2024-09-30,2.13,2.13,1,1,1,60,13.822
"LT11",2024-10-11,2.24,2.24,1,1,1,60,12.399
"LT11",2024-10-15,2.51,2.51,1,1,1,60,9.631
"LT11",2024-10-25,1.95,1.95,1,1,1,60,16.325
"LT11",2024-11-12,1.29,1.29,1,1,1,60,30.088
"LT11",2024-12-02,0.99,0.99,1,1,1,60,39.782
"LT11",2024-12-16,0.66,0.66,1,1,1,60,54.243
"LT12",2024-09-20,2.34,2.34,1,1,1,60,11.375
"LT12",2024-09-30,1.97,1.97,1,1,1,60,15.919
"LT12",2024-10-11,1.8,1.8,1,1,1,60,18.789
"LT12",2024-10-15,1.81,1.81,1,1,1,60,18.591
"LT12",2024-10-25,1.53,1.53,1,1,1,60,24.001
"LT12",2024-11-12,0.92,0.92,1,1,1,60,42.467
"LT12",2024-12-02,0.59,0.59,1,1,1,60,57.698
"LT12",2024-12-16,0.39,0.39,1,1,1,60,69.739
"LT13",2024-09-20,2.5,2.5,1,1,1,60,9.759
"LT13",2024-09-30,1.68,1.68,1,1,1,60,20.992
"LT13",2024-10-11,1.89,1.89,1,1,1,60,17.269
"LT13",2024-10-15,2.05,2.05,1,1,1,60,14.83
"LT13",2024-10-25,1.64,1.64,1,1,1,60,21.745
"LT13",2024-11-12,1.07,1.07,1,1,1,60,36.923
"LT13",2024-12-02,0.57,0.57,1,1,1,60,58.943
"LT13",2024-12-16,0.38,0.38,1,1,1,60,69.894
"LT14",2024-09-20,2.86,2.86,1,1,1,60,6.994
"LT14",2024-09-30,2.42,2.42,1,1,1,60,10.55
"LT14",2024-10-11,1.95,1.95,1,1,1,60,16.352
"LT14",2024-10-15,2.07,2.07,1,1,1,60,14.533
"LT14",2024-10-25,1.39,1.39,1,1,1,60,27.421
"LT14",2024-11-12,1.04,1.04,1,1,1,60,38.011
"LT14",2024-12-02,0.58,0.58,1,1,1,60,58.174
"LT14",2024-12-16,0.37,0.37,1,1,1,60,71.019
"LT21",2024-09-20,2.6,2.6,1,1,1,60,8.911
"LT21",2024-09-30,2.28,2.28,1,1,1,60,12.003
"LT21",2024-10-11,2.14,2.14,1,1,1,60,13.702
"LT21",2024-10-15,2.17,2.17,1,1,1,60,13.225
"LT21",2024-10-25,2.08,2.08,1,1,1,60,14.436
"LT21",2024-11-12,1.23,1.23,1,1,1,60,31.732
"LT21",2024-12-02,0.89,0.89,1,1,1,60,43.786
"LT21",2024-12-16,0.74,0.74,1,1,1,60,50.074
"LT22",2024-09-20,2.59,2.59,1,1,1,60,8.963
"LT22",2024-09-30,2.41,2.41,1,1,1,60,10.666
"LT22",2024-10-11,2.06,2.06,1,1,1,60,14.727
"LT22",2024-10-15,2.42,2.42,1,1,1,60,10.514
"LT22",2024-10-25,1.96,1.96,1,1,1,60,16.147
"LT22",2024-11-12,1,1,1,1,1,60,39.49
"LT22",2024-12-02,0.76,0.76,1,1,1,60,49.196
"LT22",2024-12-16,0.68,0.68,1,1,1,60,52.98
"LT23",2024-09-20,2.23,2.23,1,1,1,60,12.605
"LT23",2024-09-30,1.86,1.86,1,1,1,60,17.706
"LT23",2024-10-11,1.73,1.73,1,1,1,60,19.935
"LT23",2024-10-15,1.94,1.94,1,1,1,60,16.429
"LT23",2024-10-25,1.3,1.3,1,1,1,60,29.7
"LT23",2024-11-12,0.86,0.86,1,1,1,60,45.089
"LT23",2024-12-02,0.42,0.42,1,1,1,60,67.576
"LT23",2024-12-16,0.34,0.34,1,1,1,60,72.854
"LT24",2024-09-20,2.32,2.32,1,1,1,60,11.528
"LT24",2024-09-30,1.95,1.95,1,1,1,60,16.29
"LT24",2024-10-11,1.92,1.92,1,1,1,60,16.695
"LT24",2024-10-15,2.01,2.01,1,1,1,60,15.443
"LT24",2024-10-25,1.44,1.44,1,1,1,60,26.213
"LT24",2024-11-12,1.11,1.11,1,1,1,60,35.737
"LT24",2024-12-02,0.67,0.67,1,1,1,60,53.544
"LT24",2024-12-16,0.53,0.53,1,1,1,60,61.117
"LT31",2024-09-20,3.19,3.19,1,1,1,60,5.12
"LT31",2024-09-30,2.98,2.98,1,1,1,60,6.256
"LT31",2024-10-11,2.9,2.9,1,1,1,60,6.727
"LT31",2024-10-15,2.94,2.94,1,1,1,60,6.455
"LT31",2024-10-25,2.33,2.33,1,1,1,60,11.416
"LT31",2024-11-12,1.59,1.59,1,1,1,60,22.727
"LT31",2024-12-02,1.26,1.26,1,1,1,60,31.089
"LT31",2024-12-16,0.94,0.94,1,1,1,60,41.624
"LT32",2024-09-20,2.44,2.44,1,1,1,60,10.278
"LT32",2024-09-30,1.88,1.88,1,1,1,60,17.312
"LT32",2024-10-11,1.83,1.83,1,1,1,60,18.195
"LT32",2024-10-15,1.77,1.77,1,1,1,60,19.208
"LT32",2024-10-25,1.38,1.38,1,1,1,60,27.691
"LT32",2024-11-12,0.87,0.87,1,1,1,60,44.617
"LT32",2024-12-02,0.87,0.87,1,1,1,60,44.641
"LT32",2024-12-16,0.67,0.67,1,1,1,60,53.406
"LT33",2024-09-20,2.33,2.33,1,1,1,60,11.482
"LT33",2024-09-30,1.97,1.97,1,1,1,60,15.925
"LT33",2024-10-11,2,2,1,1,1,60,15.607
"LT33",2024-10-15,1.95,1.95,1,1,1,60,16.341
"LT33",2024-10-25,1.21,1.21,1,1,1,60,32.336
"LT33",2024-11-12,0.77,0.77,1,1,1,60,48.746
"LT33",2024-12-02,0.58,0.58,1,1,1,60,58.126
"LT33",2024-12-16,0.39,0.39,1,1,1,60,69.617
"LT34",2024-09-20,2.82,2.82,1,1,1,60,7.227
"LT34",2024-09-30,2.42,2.42,1,1,1,60,10.491
"LT34",2024-10-11,2.1,2.1,1,1,1,60,14.196
"LT34",2024-10-15,2.19,2.19,1,1,1,60,13.051
"LT34",2024-10-25,1.62,1.62,1,1,1,60,22.113
"LT34",2024-11-12,1.12,1.12,1,1,1,60,35.386
"LT34",2024-12-02,0.72,0.72,1,1,1,60,51.11
"LT34",2024-12-16,0.46,0.46,1,1,1,60,65.373
"LT41",2024-09-20,2.92,2.92,1,1,1,60,6.609
"LT41",2024-09-30,2.44,2.44,1,1,1,60,10.336
"LT41",2024-10-11,2.75,2.75,1,1,1,60,7.737
"LT41",2024-10-15,2.61,2.61,1,1,1,60,8.825
"LT41",2024-10-25,2.15,2.15,1,1,1,60,13.485
"LT41",2024-11-12,1.94,1.94,1,1,1,60,16.471
"LT41",2024-12-02,1.5,1.5,1,1,1,60,24.726
"LT41",2024-12-16,1.13,1.13,1,1,1,60,34.972
"LT42",2024-09-20,2.12,2.12,1,1,1,60,13.857
"LT42",2024-09-30,1.79,1.79,1,1,1,60,18.878
"LT42",2024-10-11,1.92,1.92,1,1,1,60,16.707
"LT42",2024-10-15,1.52,1.52,1,1,1,60,24.317
"LT42",2024-10-25,1.09,1.09,1,1,1,60,36.15
"LT42",2024-11-12,1.03,1.03,1,1,1,60,38.384
"LT42",2024-12-02,0.79,0.79,1,1,1,60,47.8
"LT42",2024-12-16,0.63,0.63,1,1,1,60,55.681
"LT43",2024-09-20,2.32,2.32,1,1,1,60,11.52
"LT43",2024-09-30,1.74,1.74,1,1,1,60,19.784
