"ID","date","endVZA","filename","Le","L","LX","LXG1","LXG2","DIFN","MTA_ell"
"LT12","20240920",10,"LT12_20240920.jpg",2.43,5.41,0.45,0.46,0.3,29.777,10
"LT12","20240920",20,"LT12_20240920.jpg",2.42,4.7,0.51,0.41,0.25,29.062,10
"LT12","20240920",30,"LT12_20240920.jpg",2.1,3.52,0.6,0.44,0.28,33.061,10
"LT12","20240920",40,"LT12_20240920.jpg",2.21,3.13,0.71,0.51,0.36,29.274,51
"LT12","20240920",50,"LT12_20240920.jpg",2.27,2.92,0.78,0.6,0.46,26.089,60
"LT12","20240920",60,"LT12_20240920.jpg",2.31,2.83,0.82,0.65,0.52,23.033,60
"LT12","20240920",70,"LT12_20240920.jpg",2.29,2.75,0.83,0.69,0.57,20.689,57
"LT12","20240920",80,"LT12_20240920.jpg",2.15,2.53,0.85,0.7,0.58,19.246,49
"LT12","20240920",90,"LT12_20240920.jpg",1.91,2.18,0.88,0.74,0.64,18.49,28
"LT14","20240920",10,"LT14_20240920.jpg",5.09,10.68,0.48,0.59,0.45,8.019,10
"LT14","20240920",20,"LT14_20240920.jpg",4.08,6.24,0.65,0.61,0.47,13.371,10
"LT14","20240920",30,"LT14_20240920.jpg",3.73,5.18,0.72,0.63,0.49,13.944,10
"LT14","20240920",40,"LT14_20240920.jpg",3.77,4.74,0.8,0.67,0.54,12.376,10
"LT14","20240920",50,"LT14_20240920.jpg",3.53,4.35,0.81,0.68,0.56,11.948,18
"LT14","20240920",60,"LT14_20240920.jpg",3.34,3.99,0.84,0.72,0.61,11.177,28
"LT14","20240920",70,"LT14_20240920.jpg",3.25,3.75,0.87,0.77,0.68,9.95,41
"LT14","20240920",80,"LT14_20240920.jpg",3,3.38,0.89,0.78,0.69,9.223,37
"LT14","20240920",90,"LT14_20240920.jpg",2.63,2.96,0.89,0.78,0.69,8.946,22
"LT13","20240920",10,"LT13_20240920.jpg",2.88,4.76,0.61,0.5,0.35,24.916,10
"LT13","20240920",20,"LT13_20240920.jpg",2.53,3.89,0.65,0.48,0.33,27.453,10
"LT13","20240920",30,"LT13_20240920.jpg",2.38,3.16,0.75,0.57,0.43,28.14,10
"LT13","20240920",40,"LT13_20240920.jpg",2.63,3.14,0.84,0.66,0.53,23.407,65
"LT13","20240920",50,"LT13_20240920.jpg",2.77,3.17,0.87,0.69,0.58,19.997,66
"LT13","20240920",60,"LT13_20240920.jpg",2.73,3.08,0.89,0.71,0.6,17.835,61
"LT13","20240920",70,"LT13_20240920.jpg",2.58,2.83,0.91,0.76,0.65,16.408,53
"LT13","20240920",80,"LT13_20240920.jpg",2.38,2.6,0.92,0.77,0.68,15.294,40
"LT13","20240920",90,"LT13_20240920.jpg",2.11,2.33,0.91,0.78,0.69,14.842,25
"LT11","20240920",10,"LT11_20240920.jpg",6.97,10.82,0.64,0.7,0.58,3.261,10
"LT11","20240920",20,"LT11_20240920.jpg",5.15,6.85,0.75,0.71,0.6,8.065,10
"LT11","20240920",30,"LT11_20240920.jpg",3.99,5.28,0.76,0.69,0.57,13.698,10
"LT11","20240920",40,"LT11_20240920.jpg",3.33,4.07,0.82,0.71,0.59,16.88,10
"LT11","20240920",50,"LT11_20240920.jpg",3.02,3.65,0.83,0.67,0.54,17.2,10
"LT11","20240920",60,"LT11_20240920.jpg",2.79,3.36,0.83,0.67,0.54,16.612,10
"LT11","20240920",70,"LT11_20240920.jpg",2.64,3.14,0.84,0.69,0.57,15.234,10
"LT11","20240920",80,"LT11_20240920.jpg",2.43,2.88,0.84,0.71,0.59,14.227,28
"LT11","20240920",90,"LT11_20240920.jpg",2.15,2.54,0.85,0.73,0.62,13.816,19
"LT22","20240920",10,"LT22_20240920.jpg",6.4,10.09,0.63,0.7,0.58,5.063,10
"LT22","20240920",20,"LT22_20240920.jpg",4.38,5.6,0.78,0.66,0.53,11.937,10
"LT22","20240920",30,"LT22_20240920.jpg",3.45,4.24,0.81,0.63,0.5,16.959,10
